FEN,Moves,Moves_UCI,Puzzle_ID,9M_Depth_results
r3r3/5Rpp/p1k5/P1p5/7N/6P1/2p2P1P/2R3K1 b - - 0 1,Re1+,e8e1,001CBP,"{'c5c4': {'wp': np.float64(0.1301557106006953), 'cp': -515}, 'c6b5': {'wp': np.float64(0.14325292192946715), 'cp': -485}, 'c6d5': {'wp': np.float64(0.13087263003965566), 'cp': -514}, 'c6d6': {'wp': np.float64(0.13721626892125105), 'cp': -499}, 'g7g5': {'wp': np.float64(0.1333199878011524), 'cp': -508}, 'g7g6': {'wp': np.float64(0.13828874818164438), 'cp': -496}, 'h7h5': {'wp': np.float64(0.06253566383774445), 'cp': -735}, 'h7h6': {'wp': np.float64(0.130868221803483), 'cp': -514}, 'a8a7': {'wp': np.float64(0.13645989388669777), 'cp': -501}, 'a8b8': {'wp': np.float64(0.13872250871445746), 'cp': -495}, 'a8c8': {'wp': np.float64(0.06393397376110366), 'cp': -728}, 'a8d8': {'wp': np.float64(0.32030532342586937), 'cp': -204}, 'e8e1': {'wp': np.float64(0.21452909450216406), 'cp': -352}, 'e8e2': {'wp': np.float64(0.1489044192038591), 'cp': -473}, 'e8e3': {'wp': np.float64(0.14367189346076104), 'cp': -484}, 'e8e4': {'wp': np.float64(0.1505041105408993), 'cp': -470}, 'e8e5': {'wp': np.float64(0.07521947781338922), 'cp': -681}, 'e8e6': {'wp': np.float64(0.12679982075389773), 'cp': -524}, 'e8e7': {'wp': np.float64(0.12855655638074215), 'cp': -519}, 'e8b8': {'wp': np.float64(0.14989941593445355), 'cp': -471}, 'e8c8': {'wp': np.float64(0.13112632945967673), 'cp': -513}, 'e8d8': {'wp': np.float64(0.13890270110337877), 'cp': -495}, 'e8f8': {'wp': np.float64(0.13636991110711727), 'cp': -501}, 'e8g8': {'wp': np.float64(0.13015017779712812), 'cp': -515}, 'e8h8': {'wp': np.float64(0.2063818323350034), 'cp': -365}}"
r2qr1k1/1b1n1p1p/pp1Q1np1/2pp4/3P4/2N1P3/PP1B1PPP/1BR2RK1 b - - 0 1,Re5,e8e5,002CBP,"{'c5c4': {'wp': np.float64(0.3983169194872509), 'cp': -112}, 'c5d4': {'wp': np.float64(0.3998273432085665), 'cp': -110}, 'a6a5': {'wp': np.float64(0.3938160663743958), 'cp': -117}, 'b6b5': {'wp': np.float64(0.4080225868283851), 'cp': -101}, 'f6e4': {'wp': np.float64(0.4430466777544019), 'cp': -62}, 'f6g4': {'wp': np.float64(0.5211351185238231), 'cp': 22}, 'f6h5': {'wp': np.float64(0.20037248752754144), 'cp': -375}, 'g6g5': {'wp': np.float64(0.10429797171200617), 'cp': -584}, 'b7c6': {'wp': np.float64(0.4001620760841429), 'cp': -109}, 'b7c8': {'wp': np.float64(0.41672641862742776), 'cp': -91}, 'd7e5': {'wp': np.float64(0.40198375735624337), 'cp': -107}, 'd7b8': {'wp': np.float64(0.06356391461398503), 'cp': -730}, 'd7f8': {'wp': np.float64(0.4423877940683172), 'cp': -62}, 'h7h5': {'wp': np.float64(0.4292860294108862), 'cp': -77}, 'h7h6': {'wp': np.float64(0.39903537657765187), 'cp': -111}, 'a8a7': {'wp': np.float64(0.3641814658694341), 'cp': -151}, 'a8b8': {'wp': np.float64(0.31818498494644953), 'cp': -206}, 'a8c8': {'wp': np.float64(0.17553691378589553), 'cp': -420}, 'd8c7': {'wp': np.float64(0.2924103365785572), 'cp': -240}, 'd8e7': {'wp': np.float64(0.1837054857003254), 'cp': -405}, 'd8b8': {'wp': np.float64(0.43727991792081267), 'cp': -68}, 'd8c8': {'wp': np.float64(0.34535782232657486), 'cp': -173}, 'e8e3': {'wp': np.float64(0.41477153598758043), 'cp': -93}, 'e8e4': {'wp': np.float64(0.38568241941721393), 'cp': -126}, 'e8e5': {'wp': np.float64(0.3846165049049364), 'cp': -127}, 'e8e6': {'wp': np.float64(0.29721225676548757), 'cp': -233}, 'e8e7': {'wp': np.float64(0.39122893241479995), 'cp': -120}, 'e8f8': {'wp': np.float64(0.4257620878022754), 'cp': -81}, 'g8g7': {'wp': np.float64(0.41805914356552043), 'cp': -89}, 'g8h8': {'wp': np.float64(0.3865748257096798), 'cp': -125}}"
7r/p4pk1/bpBqp1p1/8/1P1b3P/P4Q1P/2R2P2/2R3K1 w - - 0 1,b5,b4b5,003CBP,"{'c1a1': {'wp': np.float64(0.23292779640287375), 'cp': -323}, 'c1b1': {'wp': np.float64(0.3521537873138165), 'cp': -165}, 'c1d1': {'wp': np.float64(0.30264420123626395), 'cp': -226}, 'c1e1': {'wp': np.float64(0.39004519391929016), 'cp': -121}, 'c1f1': {'wp': np.float64(0.18388779292875296), 'cp': -404}, 'g1h1': {'wp': np.float64(0.19356361809498268), 'cp': -387}, 'g1g2': {'wp': np.float64(0.31083630440408117), 'cp': -216}, 'c2a2': {'wp': np.float64(0.30242880121148685), 'cp': -226}, 'c2b2': {'wp': np.float64(0.10440493358070951), 'cp': -583}, 'c2d2': {'wp': np.float64(0.06908079531960766), 'cp': -706}, 'c2e2': {'wp': np.float64(0.054625745705828774), 'cp': -774}, 'c2c3': {'wp': np.float64(0.06184169163321983), 'cp': -738}, 'c2c4': {'wp': np.float64(0.04673893816180616), 'cp': -818}, 'c2c5': {'wp': np.float64(0.5533551515003318), 'cp': 58}, 'a3a4': {'wp': np.float64(0.039353032627689036), 'cp': -867}, 'f3d1': {'wp': np.float64(0.2870723886646186), 'cp': -247}, 'f3h1': {'wp': np.float64(0.04336878355524446), 'cp': -840}, 'f3e2': {'wp': np.float64(0.08186925566560418), 'cp': -656}, 'f3g2': {'wp': np.float64(0.0431226038369695), 'cp': -841}, 'f3b3': {'wp': np.float64(0.11964535008600803), 'cp': -542}, 'f3c3': {'wp': np.float64(0.25185675478532626), 'cp': -295}, 'f3d3': {'wp': np.float64(0.4594182603778668), 'cp': -44}, 'f3e3': {'wp': np.float64(0.06801452818285113), 'cp': -710}, 'f3g3': {'wp': np.float64(0.25315544195643247), 'cp': -293}, 'f3e4': {'wp': np.float64(0.32333606786974245), 'cp': -200}, 'f3f4': {'wp': np.float64(0.12430585587284579), 'cp': -530}, 'f3g4': {'wp': np.float64(0.25610608692341075), 'cp': -289}, 'f3d5': {'wp': np.float64(0.3590476979988563), 'cp': -157}, 'f3f5': {'wp': np.float64(0.15870420486266326), 'cp': -452}, 'f3h5': {'wp': np.float64(0.47892666618612334), 'cp': -22}, 'f3f6': {'wp': np.float64(0.17100137874150295), 'cp': -428}, 'f3f7': {'wp': np.float64(0.40002264762792206), 'cp': -110}, 'b4b5': {'wp': np.float64(0.5276834270723088), 'cp': 30}, 'h4h5': {'wp': np.float64(0.4725132313994149), 'cp': -29}, 'c6a4': {'wp': np.float64(0.24173383136244836), 'cp': -310}, 'c6e4': {'wp': np.float64(0.4576607875499098), 'cp': -46}, 'c6b5': {'wp': np.float64(0.52322342524345), 'cp': 25}, 'c6d5': {'wp': np.float64(0.2539925593434863), 'cp': -292}, 'c6b7': {'wp': np.float64(0.15946851867713416), 'cp': -451}, 'c6d7': {'wp': np.float64(0.35834475780686764), 'cp': -158}, 'c6a8': {'wp': np.float64(0.5715866657352895), 'cp': 78}, 'c6e8': {'wp': np.float64(0.4965778052575979), 'cp': -3}}"
4r1k1/5Rp1/1p2r2p/7P/2PQnB1q/4P3/6P1/5RK1 b - - 0 1,Kxf7,g8f7,004CBP,"{'e4d2': {'wp': np.float64(0.03733645976790767), 'cp': -882}, 'e4f2': {'wp': np.float64(0.05429897334287348), 'cp': -776}, 'e4c3': {'wp': np.float64(0.26899783656762033), 'cp': -271}, 'e4g3': {'wp': np.float64(0.04357489143170923), 'cp': -838}, 'e4c5': {'wp': np.float64(0.07647829497209957), 'cp': -676}, 'e4g5': {'wp': np.float64(0.030305794849802115), 'cp': -941}, 'e4d6': {'wp': np.float64(0.014570470486511944), 'cp': -1144}, 'e4f6': {'wp': np.float64(0.030868482979325984), 'cp': -936}, 'h4e1': {'wp': np.float64(0.261442991608862), 'cp': -282}, 'h4h1': {'wp': np.float64(0.42263965524378233), 'cp': -84}, 'h4f2': {'wp': np.float64(0.056402032124677204), 'cp': -765}, 'h4h2': {'wp': np.float64(0.1374051052853814), 'cp': -498}, 'h4g3': {'wp': np.float64(0.037844949722217525), 'cp': -878}, 'h4h3': {'wp': np.float64(0.029592699399610845), 'cp': -947}, 'h4f4': {'wp': np.float64(0.01782833898631153), 'cp': -1088}, 'h4g4': {'wp': np.float64(0.08507166658109011), 'cp': -645}, 'h4g5': {'wp': np.float64(0.12567362283550287), 'cp': -526}, 'h4h5': {'wp': np.float64(0.13510787682701142), 'cp': -504}, 'h4f6': {'wp': np.float64(0.02886886691350521), 'cp': -954}, 'h4e7': {'wp': np.float64(0.022458613002175998), 'cp': -1024}, 'h4d8': {'wp': np.float64(0.3987899227807916), 'cp': -111}, 'b6b5': {'wp': np.float64(0.025644601549399404), 'cp': -987}, 'e6e5': {'wp': np.float64(0.01634874245643725), 'cp': -1112}, 'e6c6': {'wp': np.float64(0.04129928339863709), 'cp': -854}, 'e6d6': {'wp': np.float64(0.047267446127360335), 'cp': -815}, 'e6f6': {'wp': np.float64(0.09029979546118172), 'cp': -627}, 'e6g6': {'wp': np.float64(0.0954689276566697), 'cp': -610}, 'e6e7': {'wp': np.float64(0.018229257272939448), 'cp': -1082}, 'g7g5': {'wp': np.float64(0.22309455375151377), 'cp': -338}, 'g7g6': {'wp': np.float64(0.011516175992950739), 'cp': -1209}, 'e8e7': {'wp': np.float64(0.004407442066691636), 'cp': -1472}, 'e8a8': {'wp': np.float64(0.012672637659908004), 'cp': -1182}, 'e8b8': {'wp': np.float64(0.006629277526171706), 'cp': -1360}, 'e8c8': {'wp': np.float64(0.018833348007716744), 'cp': -1073}, 'e8d8': {'wp': np.float64(0.018869272664690406), 'cp': -1073}, 'e8f8': {'wp': np.float64(0.01394546743397973), 'cp': -1156}, 'g8f7': {'wp': np.float64(0.03431961129507766), 'cp': -906}, 'g8h7': {'wp': np.float64(0.05460788450861365), 'cp': -774}, 'g8h8': {'wp': np.float64(0.011548884882044419), 'cp': -1208}}"
2r3k1/4bppp/p3p3/q1n1P1PP/1pQ2P2/5B2/PPb5/K1NR2R1 b - - 0 1,Qa4,a5a4,005CBP,"{'c2b1': {'wp': np.float64(0.11736490896857654), 'cp': -547}, 'c2d1': {'wp': np.float64(0.11526617717001753), 'cp': -553}, 'c2b3': {'wp': np.float64(0.1162565592841196), 'cp': -550}, 'c2d3': {'wp': np.float64(0.11704391812623605), 'cp': -548}, 'c2a4': {'wp': np.float64(0.1163930598804489), 'cp': -550}, 'c2e4': {'wp': np.float64(0.1752258406840752), 'cp': -420}, 'c2f5': {'wp': np.float64(0.11631533598054566), 'cp': -550}, 'c2g6': {'wp': np.float64(0.12943592518049596), 'cp': -517}, 'b4b3': {'wp': np.float64(0.11911502762544945), 'cp': -543}, 'a5a2': {'wp': np.float64(0.12476835971557321), 'cp': -529}, 'a5a3': {'wp': np.float64(0.11727896126998338), 'cp': -548}, 'a5a4': {'wp': np.float64(0.11902796012136907), 'cp': -543}, 'a5b5': {'wp': np.float64(0.11771011795446407), 'cp': -547}, 'a5b6': {'wp': np.float64(0.17869455788881394), 'cp': -414}, 'a5c7': {'wp': np.float64(0.060841903001038866), 'cp': -743}, 'a5d8': {'wp': np.float64(0.058825582412049826), 'cp': -752}, 'c5b3': {'wp': np.float64(0.05726015037030441), 'cp': -760}, 'c5d3': {'wp': np.float64(0.06069256033260095), 'cp': -743}, 'c5a4': {'wp': np.float64(0.0689776871607225), 'cp': -706}, 'c5e4': {'wp': np.float64(0.17504188837702106), 'cp': -421}, 'c5b7': {'wp': np.float64(0.1022582346435964), 'cp': -589}, 'c5d7': {'wp': np.float64(0.1456505996810975), 'cp': -480}, 'e7g5': {'wp': np.float64(0.14892772313715985), 'cp': -473}, 'e7d6': {'wp': np.float64(0.13548622813552735), 'cp': -503}, 'e7f6': {'wp': np.float64(0.33662219100983437), 'cp': -184}, 'e7d8': {'wp': np.float64(0.12616474723643412), 'cp': -525}, 'e7f8': {'wp': np.float64(0.15056248789560445), 'cp': -469}, 'f7f5': {'wp': np.float64(0.13664566450236748), 'cp': -500}, 'f7f6': {'wp': np.float64(0.34224561327839464), 'cp': -177}, 'g7g6': {'wp': np.float64(0.1262958682887385), 'cp': -525}, 'h7h6': {'wp': np.float64(0.38527834188499965), 'cp': -126}, 'c8c6': {'wp': np.float64(0.1461020935871793), 'cp': -479}, 'c8c7': {'wp': np.float64(0.1225401734768975), 'cp': -534}, 'c8a8': {'wp': np.float64(0.5022760094799446), 'cp': 2}, 'c8b8': {'wp': np.float64(0.11735562425361279), 'cp': -547}, 'c8d8': {'wp': np.float64(0.13781541350254356), 'cp': -497}, 'c8e8': {'wp': np.float64(0.12915144285720548), 'cp': -518}, 'c8f8': {'wp': np.float64(0.12715330734479646), 'cp': -523}, 'g8f8': {'wp': np.float64(0.41063454997390636), 'cp': -98}, 'g8h8': {'wp': np.float64(0.13516039787244172), 'cp': -504}}"
r4rk1/pb3pp1/1p1ppq1p/8/2PR3n/P1N1P1P1/1PQ1BP1P/5RK1 b - - 0 1,Qf3,f6f3,006CBP,"{'h4g2': {'wp': np.float64(0.12553841015596934), 'cp': -527}, 'h4f3': {'wp': np.float64(0.13165355151272362), 'cp': -512}, 'h4f5': {'wp': np.float64(0.14577502641545714), 'cp': -480}, 'h4g6': {'wp': np.float64(0.13701737245679269), 'cp': -499}, 'b6b5': {'wp': np.float64(0.1268345822931738), 'cp': -523}, 'd6d5': {'wp': np.float64(0.1297429555213312), 'cp': -516}, 'e6e5': {'wp': np.float64(0.1360592129213697), 'cp': -502}, 'f6f2': {'wp': np.float64(0.1446027519463281), 'cp': -482}, 'f6f3': {'wp': np.float64(0.13235254316384104), 'cp': -510}, 'f6d4': {'wp': np.float64(0.11452037215565503), 'cp': -555}, 'f6f4': {'wp': np.float64(0.1203356111338294), 'cp': -540}, 'f6e5': {'wp': np.float64(0.12332020363649776), 'cp': -532}, 'f6f5': {'wp': np.float64(0.11123997863018964), 'cp': -564}, 'f6g5': {'wp': np.float64(0.09958600769313808), 'cp': -597}, 'f6g6': {'wp': np.float64(0.11923064205929468), 'cp': -543}, 'f6e7': {'wp': np.float64(0.16783852001388944), 'cp': -434}, 'f6d8': {'wp': np.float64(0.09492706663297834), 'cp': -612}, 'h6h5': {'wp': np.float64(0.12511804054647857), 'cp': -528}, 'a7a5': {'wp': np.float64(0.13469384354031366), 'cp': -505}, 'a7a6': {'wp': np.float64(0.3159360036713219), 'cp': -209}, 'b7h1': {'wp': np.float64(0.13299337922037568), 'cp': -509}, 'b7g2': {'wp': np.float64(0.4098963636549946), 'cp': -98}, 'b7f3': {'wp': np.float64(0.12831948483931022), 'cp': -520}, 'b7e4': {'wp': np.float64(0.05503896974164302), 'cp': -772}, 'b7d5': {'wp': np.float64(0.11630086220309921), 'cp': -550}, 'b7a6': {'wp': np.float64(0.49957671475524346), 'cp': 0}, 'b7c6': {'wp': np.float64(0.06641649887195111), 'cp': -717}, 'b7c8': {'wp': np.float64(0.3848591822552886), 'cp': -127}, 'g7g5': {'wp': np.float64(0.45492308253843616), 'cp': -49}, 'g7g6': {'wp': np.float64(0.5560441006090788), 'cp': 61}, 'a8b8': {'wp': np.float64(0.20501423727374024), 'cp': -368}, 'a8c8': {'wp': np.float64(0.12903997073335316), 'cp': -518}, 'a8d8': {'wp': np.float64(0.13208289167241505), 'cp': -511}, 'a8e8': {'wp': np.float64(0.12138584298317268), 'cp': -537}, 'f8b8': {'wp': np.float64(0.13384882408334575), 'cp': -507}, 'f8c8': {'wp': np.float64(0.15539110817199242), 'cp': -459}, 'f8d8': {'wp': np.float64(0.1499299346182461), 'cp': -471}, 'f8e8': {'wp': np.float64(0.17831017107585423), 'cp': -414}, 'g8h8': {'wp': np.float64(0.13023763621343187), 'cp': -515}}"
1br3k1/5pp1/p3p2p/1bBn4/N7/1P3PP1/5R1P/2R3K1 b - - 0 1,Bxa4,b5a4,007CBP,"{'b5f1': {'wp': np.float64(0.4242316962728333), 'cp': -82}, 'b5e2': {'wp': np.float64(0.45190172310555543), 'cp': -52}, 'b5d3': {'wp': np.float64(0.10912593008465021), 'cp': -570}, 'b5a4': {'wp': np.float64(0.42476539234433364), 'cp': -82}, 'b5c4': {'wp': np.float64(0.4331661820189826), 'cp': -73}, 'b5c6': {'wp': np.float64(0.43978230132977747), 'cp': -65}, 'b5d7': {'wp': np.float64(0.42225528358308273), 'cp': -85}, 'b5e8': {'wp': np.float64(0.24097737323088064), 'cp': -311}, 'd5c3': {'wp': np.float64(0.3050923967136725), 'cp': -223}, 'd5e3': {'wp': np.float64(0.4113105378970163), 'cp': -97}, 'd5b4': {'wp': np.float64(0.43785415007484163), 'cp': -67}, 'd5f4': {'wp': np.float64(0.4774881340071293), 'cp': -24}, 'd5b6': {'wp': np.float64(0.292582305109522), 'cp': -239}, 'd5f6': {'wp': np.float64(0.16669936786119988), 'cp': -437}, 'd5c7': {'wp': np.float64(0.3899018599771302), 'cp': -121}, 'd5e7': {'wp': np.float64(0.18334574781615665), 'cp': -405}, 'a6a5': {'wp': np.float64(0.3874057541785185), 'cp': -124}, 'e6e5': {'wp': np.float64(0.1319932309281171), 'cp': -511}, 'h6h5': {'wp': np.float64(0.23896267038280994), 'cp': -314}, 'f7f5': {'wp': np.float64(0.4779752623559006), 'cp': -23}, 'f7f6': {'wp': np.float64(0.1475527764450717), 'cp': -476}, 'g7g5': {'wp': np.float64(0.1858168463709312), 'cp': -401}, 'g7g6': {'wp': np.float64(0.41670839048583974), 'cp': -91}, 'b8g3': {'wp': np.float64(0.4198327748028303), 'cp': -87}, 'b8f4': {'wp': np.float64(0.37146539700672976), 'cp': -142}, 'b8e5': {'wp': np.float64(0.1163361145828824), 'cp': -550}, 'b8d6': {'wp': np.float64(0.47377086555943804), 'cp': -28}, 'b8a7': {'wp': np.float64(0.4435566719962414), 'cp': -61}, 'b8c7': {'wp': np.float64(0.13552200504485945), 'cp': -503}, 'c8c5': {'wp': np.float64(0.11469621864320756), 'cp': -555}, 'c8c6': {'wp': np.float64(0.4218007713364602), 'cp': -85}, 'c8c7': {'wp': np.float64(0.4023517926276492), 'cp': -107}, 'c8d8': {'wp': np.float64(0.43560562221606736), 'cp': -70}, 'c8e8': {'wp': np.float64(0.33585273472193644), 'cp': -185}, 'c8f8': {'wp': np.float64(0.4191775917526065), 'cp': -88}, 'g8h7': {'wp': np.float64(0.4520214704793122), 'cp': -52}, 'g8h8': {'wp': np.float64(0.40211874596336183), 'cp': -107}}"
8/2p1q2k/3p3p/3P1p1n/3QpPrP/2P1N1PK/1r6/5RR1 b - - 0 1,Rxh4+,g4h4,008CBP,"{'b2b1': {'wp': np.float64(0.26521946998312274), 'cp': -276}, 'b2a2': {'wp': np.float64(0.42662074537909067), 'cp': -80}, 'b2c2': {'wp': np.float64(0.43894863994623545), 'cp': -66}, 'b2d2': {'wp': np.float64(0.42999950309512514), 'cp': -76}, 'b2e2': {'wp': np.float64(0.3577769999428133), 'cp': -158}, 'b2f2': {'wp': np.float64(0.4317382448142766), 'cp': -74}, 'b2g2': {'wp': np.float64(0.48349199545045707), 'cp': -17}, 'b2h2': {'wp': np.float64(0.5303779933601998), 'cp': 33}, 'b2b3': {'wp': np.float64(0.4550128066009076), 'cp': -49}, 'b2b4': {'wp': np.float64(0.07953684793804183), 'cp': -665}, 'b2b5': {'wp': np.float64(0.04829872168496563), 'cp': -809}, 'b2b6': {'wp': np.float64(0.06729596318132869), 'cp': -713}, 'b2b7': {'wp': np.float64(0.286647535531074), 'cp': -247}, 'b2b8': {'wp': np.float64(0.3631801196999427), 'cp': -152}, 'g4g3': {'wp': np.float64(0.3915009960246667), 'cp': -119}, 'g4f4': {'wp': np.float64(0.21020849309692213), 'cp': -359}, 'g4h4': {'wp': np.float64(0.2722126882541316), 'cp': -267}, 'g4g5': {'wp': np.float64(0.3770508681231579), 'cp': -136}, 'g4g6': {'wp': np.float64(0.31717769427642306), 'cp': -208}, 'g4g7': {'wp': np.float64(0.41181180057243694), 'cp': -96}, 'g4g8': {'wp': np.float64(0.12414123462998872), 'cp': -530}, 'h5g3': {'wp': np.float64(0.21641202996862985), 'cp': -349}, 'h5f4': {'wp': np.float64(0.20008016846414733), 'cp': -376}, 'h5f6': {'wp': np.float64(0.32845186041860863), 'cp': -194}, 'h5g7': {'wp': np.float64(0.3451668564445387), 'cp': -173}, 'c7c5': {'wp': np.float64(0.2723017770565773), 'cp': -266}, 'c7c6': {'wp': np.float64(0.2776740599444181), 'cp': -259}, 'e7h4': {'wp': np.float64(0.3158101093508763), 'cp': -209}, 'e7e5': {'wp': np.float64(0.1540093568098797), 'cp': -462}, 'e7g5': {'wp': np.float64(0.3127283792897695), 'cp': -213}, 'e7e6': {'wp': np.float64(0.2705192303761095), 'cp': -269}, 'e7f6': {'wp': np.float64(0.1941299443378739), 'cp': -386}, 'e7d7': {'wp': np.float64(0.14634269887024165), 'cp': -478}, 'e7f7': {'wp': np.float64(0.6307419493262358), 'cp': 145}, 'e7g7': {'wp': np.float64(0.15304451520969664), 'cp': -464}, 'e7d8': {'wp': np.float64(0.32000926213833836), 'cp': -204}, 'e7e8': {'wp': np.float64(0.38335772726305795), 'cp': -129}, 'e7f8': {'wp': np.float64(0.23544807788833655), 'cp': -319}, 'h7g6': {'wp': np.float64(0.31903747821123885), 'cp': -205}, 'h7g8': {'wp': np.float64(0.5170386260056979), 'cp': 18}}"
5k2/7p/pr1pB1p1/2pP4/1P6/6PP/R3qP2/R5K1 b - - 0 1,Qe4,e2e4,009CBP,"{'e2d1': {'wp': np.float64(0.05995417589797769), 'cp': -747}, 'e2e1': {'wp': np.float64(0.06638527905824543), 'cp': -717}, 'e2f1': {'wp': np.float64(0.06290161363765645), 'cp': -733}, 'e2a2': {'wp': np.float64(0.06266843980256798), 'cp': -734}, 'e2b2': {'wp': np.float64(0.06211860767623034), 'cp': -737}, 'e2c2': {'wp': np.float64(0.04592358225302484), 'cp': -823}, 'e2d2': {'wp': np.float64(0.06265740301360967), 'cp': -734}, 'e2f2': {'wp': np.float64(0.057091717278488274), 'cp': -761}, 'e2d3': {'wp': np.float64(0.10487242843131594), 'cp': -582}, 'e2e3': {'wp': np.float64(0.4938339732466648), 'cp': -6}, 'e2f3': {'wp': np.float64(0.5663975868468986), 'cp': 72}, 'e2c4': {'wp': np.float64(0.5492979390788071), 'cp': 53}, 'e2e4': {'wp': np.float64(0.061130733652390634), 'cp': -741}, 'e2g4': {'wp': np.float64(0.5948832039579788), 'cp': 104}, 'e2b5': {'wp': np.float64(0.5680149150377901), 'cp': 74}, 'e2e5': {'wp': np.float64(0.543225949405837), 'cp': 47}, 'e2h5': {'wp': np.float64(0.05953051037294732), 'cp': -749}, 'e2e6': {'wp': np.float64(0.5637975494814657), 'cp': 69}, 'c5b4': {'wp': np.float64(0.05176518932016538), 'cp': -789}, 'c5c4': {'wp': np.float64(0.06430676013430048), 'cp': -727}, 'a6a5': {'wp': np.float64(0.055273964492619676), 'cp': -770}, 'b6b4': {'wp': np.float64(0.060337027640608776), 'cp': -745}, 'b6b5': {'wp': np.float64(0.31028259898764265), 'cp': -216}, 'b6c6': {'wp': np.float64(0.06424108988318156), 'cp': -727}, 'b6b7': {'wp': np.float64(0.06364723967019614), 'cp': -730}, 'b6b8': {'wp': np.float64(0.06481314773564573), 'cp': -724}, 'g6g5': {'wp': np.float64(0.07042087103839911), 'cp': -700}, 'h7h5': {'wp': np.float64(0.06345720223614837), 'cp': -731}, 'h7h6': {'wp': np.float64(0.06157092320950319), 'cp': -739}, 'f8e7': {'wp': np.float64(0.06486104271591142), 'cp': -724}, 'f8g7': {'wp': np.float64(0.05671428507329479), 'cp': -763}, 'f8e8': {'wp': np.float64(0.06607060109160356), 'cp': -719}}"
2r3r1/p1q2p1k/1p1p1p1p/n3pP2/3PPN1Q/P4R2/6PP/R5K1 b - - 0 1,Qc4,c7c4,010CBP,"{'a5b3': {'wp': np.float64(0.1176086273541248), 'cp': -547}, 'a5c4': {'wp': np.float64(0.09445310925209172), 'cp': -613}, 'a5c6': {'wp': np.float64(0.10035244712403313), 'cp': -595}, 'a5b7': {'wp': np.float64(0.11441730660926597), 'cp': -555}, 'e5d4': {'wp': np.float64(0.10845231677320566), 'cp': -572}, 'e5f4': {'wp': np.float64(0.10517728104321034), 'cp': -581}, 'b6b5': {'wp': np.float64(0.20928208873711895), 'cp': -361}, 'd6d5': {'wp': np.float64(0.19572813761494523), 'cp': -383}, 'h6h5': {'wp': np.float64(0.14654859779348106), 'cp': -478}, 'a7a6': {'wp': np.float64(0.13498437858964696), 'cp': -504}, 'c7c1': {'wp': np.float64(0.02096434271301506), 'cp': -1043}, 'c7c2': {'wp': np.float64(0.033361844648162275), 'cp': -914}, 'c7c3': {'wp': np.float64(0.028271470949382316), 'cp': -960}, 'c7c4': {'wp': np.float64(0.030008925046034918), 'cp': -943}, 'c7c5': {'wp': np.float64(0.03002860787678241), 'cp': -943}, 'c7c6': {'wp': np.float64(0.09872310923247096), 'cp': -600}, 'c7b7': {'wp': np.float64(0.10122698602494529), 'cp': -593}, 'c7d7': {'wp': np.float64(0.24558825621842173), 'cp': -304}, 'c7e7': {'wp': np.float64(0.06674704964901634), 'cp': -716}, 'c7b8': {'wp': np.float64(0.15151356650268366), 'cp': -467}, 'c7d8': {'wp': np.float64(0.040212088469131935), 'cp': -861}, 'h7g7': {'wp': np.float64(0.05128693002268303), 'cp': -792}, 'h7h8': {'wp': np.float64(0.15886713204654945), 'cp': -452}, 'c8a8': {'wp': np.float64(0.07756301658874798), 'cp': -672}, 'c8b8': {'wp': np.float64(0.7168324197189664), 'cp': 252}, 'c8d8': {'wp': np.float64(0.12110771300066003), 'cp': -538}, 'c8e8': {'wp': np.float64(0.1734933780447072), 'cp': -423}, 'c8f8': {'wp': np.float64(0.22018461138140633), 'cp': -343}, 'g8g2': {'wp': np.float64(0.14113047099261133), 'cp': -490}, 'g8g3': {'wp': np.float64(0.037841764022402025), 'cp': -878}, 'g8g4': {'wp': np.float64(0.03756534133887568), 'cp': -880}, 'g8g5': {'wp': np.float64(0.18910856362145978), 'cp': -395}, 'g8g6': {'wp': np.float64(0.4152785503573089), 'cp': -92}, 'g8g7': {'wp': np.float64(0.13552089445109772), 'cp': -503}, 'g8d8': {'wp': np.float64(0.14458938194270288), 'cp': -482}, 'g8e8': {'wp': np.float64(0.08572832763039884), 'cp': -642}, 'g8f8': {'wp': np.float64(0.12110131847893335), 'cp': -538}, 'g8h8': {'wp': np.float64(0.15166829313594765), 'cp': -467}}"
